Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Experience
Mike James,RB,Miami (FL),70.0,223.0,4.53,35.0,28.0,115.0,,4.62,189,4
Jawan Jamison,RB,Rutgers,67.0,203.0,4.68,29.0,20.0,110.0,,,228,0
Stefphon Jefferson,RB,Nevada,70.0,213.0,4.68,31.0,15.0,117.0,6.97,4.44,0,-1
D.C. Jefferson,TE,Rutgers,78.0,255.0,4.97,,3.0,,,,219,2
Tony Jefferson,S,Oklahoma,71.0,213.0,4.75,,16.0,,,,0,9
Brandon Jenkins,DE,Florida State,74.0,251.0,5.07,,18.0,,,,162,0
Jelani Jenkins,ILB,Florida,72.0,243.0,4.65,,27.0,,,,104,5
John Jenkins,DT,Georgia,76.0,346.0,5.21,,30.0,,,,82,10
Luke Joeckel,OT,Texas A&M,78.0,306.0,5.3,28.5,27.0,106.0,7.4,4.68,2,5
Darius Johnson,WR,SMU,69.0,179.0,4.6,32.0,6.0,109.0,,4.53,0,0
Josh Johnson,CB,Purdue,69.0,199.0,4.65,35.0,16.0,114.0,6.99,4.25,0,8
Keelan Johnson,S,Arizona State,72.0,209.0,4.54,36.5,12.0,125.0,6.77,4.07,0,0
Lane Johnson,OT,Oklahoma,78.0,303.0,4.72,34.0,28.0,118.0,7.31,4.52,4,10
Nico Johnson,ILB,Alabama,74.0,248.0,4.73,,,,,,99,3
Oscar Johnson,OT,Louisiana Tech,77.0,331.0,5.49,22.0,,88.0,8.06,5.06,0,0
T.J. Johnson,C,South Carolina,76.0,310.0,5.33,25.5,32.0,96.0,7.83,4.74,251,4
Jamaal Johnson-Webb,OG,Alabama A&M,77.0,313.0,5.37,23.0,17.0,92.0,8.12,4.74,0,0
Abry Jones,DT,Georgia,75.0,313.0,5.06,26.5,30.0,101.0,,,0,8
Barrett Jones,C,Alabama,76.0,306.0,5.43,,,,,,113,3
Chris Jones,DT,Bowling Green,74.0,302.0,5.33,,30.0,,7.34,4.44,198,7
Datone Jones,DE,UCLA,76.0,283.0,4.8,31.5,29.0,112.0,7.32,4.32,26,7
Jarvis Jones,OLB,Georgia,74.0,245.0,4.74,,,,,,17,4
Landry Jones,QB,Oklahoma,76.0,225.0,5.11,31.0,,115.0,7.12,4.3,115,6
Dion Jordan,OLB,Oregon,78.0,248.0,4.54,32.5,,122.0,7.02,4.35,3,6
Nick Kasa,TE,Colorado,78.0,269.0,4.71,31.5,22.0,113.0,,,172,3
Brandon Kaufman,WR,East. Washington,77.0,216.0,4.67,33.5,9.0,115.0,7.11,4.44,0,0
Travis Kelce,TE,Cincinnati,77.0,255.0,4.63,,,,,,63,10
Tavarres King,WR,Georgia,72.0,189.0,4.47,36.5,11.0,123.0,6.91,4.33,161,4
A.J. Klein,ILB,Iowa State,73.0,250.0,4.66,,20.0,113.0,,,148,10
Collin Klein,QB,Kansas State,77.0,226.0,4.78,29.0,,111.0,7.17,4.4,0,-1
Jake Knott,OLB,Iowa State,74.0,243.0,4.84,,,,,,0,2
Scott Kovanda,P,Ball State,74.0,207.0,4.84,,,,,,0,-1
Joe Kruger,DE,Utah,78.0,269.0,4.83,34.0,24.0,117.0,7.17,4.46,212,2
Edmund Kugbila,OG,Valdosta State,76.0,317.0,5.13,22.5,23.0,105.0,7.72,4.65,108,2
Eddie Lacy,RB,Alabama,71.0,231.0,4.55,,,,,,61,5
Marcus Lattimore,RB,South Carolina,71.0,221.0,4.65,,,,,,131,2
Alec Lemon,WR,Syracuse,73.0,202.0,4.59,32.0,7.0,112.0,7.04,4.29,0,2
Corey Lemonier,DE,Auburn,75.0,255.0,4.6,33.0,27.0,119.0,7.14,4.4,88,5
Robert Lester,S,Alabama,73.0,220.0,4.66,33.5,,117.0,,,0,2
Kapron Lewis-Moore,DT,Notre Dame,76.0,298.0,4.95,,,,,,200,4
Zach Line,FB,SMU,72.0,232.0,4.77,30.5,26.0,111.0,,,0,7
Jeff Locke,P,UCLA,73.0,209.0,4.82,,,,,,155,5
Bennie Logan,DT,LSU,74.0,309.0,5.08,25.0,30.0,104.0,7.53,4.67,67,6
P.J. Lonergan,C,LSU,75.0,304.0,5.38,,25.0,,,,0,-1
Kyle Long,OG,Oregon,78.0,313.0,4.91,28.0,,107.0,7.83,4.63,20,7
John Lotulelei,OLB,UNLV,71.0,233.0,4.84,35.5,25.0,117.0,6.91,4.3,0,3
Star Lotulelei,DT,Utah,74.0,311.0,5.14,,,,,,14,8
Philip Lutzenkirchen,TE,Auburn,75.0,258.0,4.94,30.5,21.0,112.0,7.15,4.35,0,-1
Joe Madsen,C,West Virginia,75.0,310.0,5.2,25.0,25.0,98.0,7.6,4.83,0,0
Lamar Mady,OG,Youngstown State,74.0,317.0,5.48,23.0,35.0,95.0,8.07,4.82,0,2
Brandon Magee,OLB,Arizona State,71.0,223.0,4.74,,,114.0,,,0,2
Brett Maher,K,Nebraska,72.0,186.0,4.89,,,,,,0,5
E.J. Manuel,QB,Florida State,77.0,237.0,4.65,34.0,,118.0,7.08,4.21,16,-1
Stansly Maponga,DE,TCU,74.0,256.0,4.78,,30.0,,,,153,4
Luke Marquardt,OT,Azusa Pacific,80.0,315.0,5.34,,31.0,,,,0,0
Tyrann Mathieu,CB,LSU,69.0,186.0,4.5,34.0,4.0,117.0,6.87,4.14,69,10
Michael Mauti,OLB,Penn State,74.0,243.0,4.83,,28.0,,,,213,5
Miguel Maysonet,RB,Stony Brook,69.0,209.0,4.54,,20.0,,7.21,4.43,0,1
Onterio McCalebb,RB,Auburn,70.0,168.0,4.34,34.0,,121.0,,,0,1
Demetrius McCray,CB,Appalachian State,73.0,187.0,4.54,36.0,4.0,126.0,7.17,4.32,210,4
Lerentee McCray,OLB,Florida,74.0,250.0,4.74,,,,,,0,8
T.J. McDonald,S,USC,74.0,219.0,4.59,40.0,19.0,131.0,6.89,4.2,71,6
