Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Experience
Hank Poteat,CB,Pittsburgh,70,197,4.57,37,16,126,6.66,4,77,8
Travis Prentice,RB,Miami (OH),72,225,4.5,37,23,115,6.92,4.4,63,3
Greg Randall,OT,Michigan State,78,333,5.59,26,22,95,8.15,5.13,127,4
Tim Rattay,QB,Louisiana Tech,72,215,4.91,25.5,,100,7.34,4.21,212,8
Chase Raynock,OT,Montana,78,308,5.5,25,22,94,8.33,5,0,1
Chris Redman,QB,Louisville,75,222,5.37,26.5,,98,7.8,4.78,75,9
J.R. Redmond,RB,Arizona State,71,216,4.48,32.5,,121,,,76,-1
Quinton Reese,DE,Auburn,76,283,5.13,30,18,101,7.91,4.68,181,-1
Tutan Reyes,OT,Mississippi,75,299,5.37,26.5,20,99,7.49,4.88,131,10
Rob Riti,C,Missouri,74,293,5.19,29.5,17,106,,,0,-1
Fred Robbins,DT,Wake Forest,76,312,5.09,29.5,25,94,7.72,4.72,55,12
Roger Roesler,OG,Texas,77,314,5.31,29.5,25,101,8.31,4.76,0,0
Phillip Rogers,RB,Georgia Tech,73,232,4.68,37,19,124,7.21,4.31,0,-1
Mark Roman,CB,LSU,71,188,4.55,,,,,,34,10
Blaine Saipaia,OG,Colorado State,75,321,5.35,,,,,,0,4
Chris Samuels,OT,Alabama,77,325,5.08,,,,,,3,10
Lewis Sanders,CB,Maryland,72,202,4.5,37,10,116,,,95,9
Ketric Sanford,RB,Houston,67,199,4.6,32,12,118,6.63,4.3,0,-1
Sekou Sanyika,OLB,California,75,241,4.75,32.5,,111,7.33,4.38,215,2
Manuia Savea,OG,Arizona,74,308,5.34,25,24,92,,,207,-1
Gari Scott,WR,Michigan State,72,194,4.59,33.5,,119,,,99,2
Tony Scott,CB,North Carolina State,70,193,4.5,34,11,116,7.45,4.24,179,2
Richard Seals,DT,Utah,74,316,5.13,28.5,24,102,7.78,4.6,218,-1
Aaron Shea,FB,Michigan,76,253,4.81,37.5,,114,6.72,4.3,110,7
Jacoby Shepherd,CB,Oklahoma State,73,195,4.53,35,5,120,,,62,3
Samson Sherrod,OLB,San Jose State,75,262,4.78,,,,,,0,-1
Wes Shivers,OT,Mississippi State,77,318,5.65,22.5,18,98,8.48,4.81,237,0
Brandon Short,ILB,Penn State,75,252,4.72,,,,,,105,7
Kofi Shuck,WR,Wyoming,74,180,4.66,33,,119,7.18,4.1,0,-1
Corey Simon,DT,Florida State,74,297,4.83,,,,,,6,8
Mark Simoneau,OLB,Kansas State,72,237,4.6,36,24,117,7.08,4.09,67,11
Peter Sirmon,ILB,Oregon,74,246,4.84,34.5,20,115,7.21,4.27,128,7
T.J. Slaughter,ILB,Southern Miss,72,247,4.87,30,24,112,7.08,4.26,92,-1
